artist_name,end_time,ms_played,track_name,track_id
Octavian,20/12/2020 20:16,169211,Bet (feat. Skepta & Michael Phantom),3JrYkRVUNq5QLUgVJMCLYz
Sonny Digital,20/12/2020 20:18,171095,Higher,43lU43diOeQqizps3dMsFz
Rella,20/12/2020 20:22,29725,Follow Me,7ClEMzpSQixYIBEFdyJtX4
Frank Ocean,20/12/2020 20:22,200746,Thinkin Bout You,5mphdlILgAq3vh1MSvAJTS
Lil Mosey,20/12/2020 20:22,11006,Stuck In A Dream (feat. Gunna),7iHHxY2NLlJRAmlAmC4ahQ
Blxst,20/12/2020 20:26,9544,Hurt,2hKmsv270gdqt6r5dJjOsE
Internet Money,20/12/2020 20:26,195428,Lemonade,7hxHWCCAIIxFLCzvDgnQHX
Jordy,20/12/2020 20:26,4458,A13,1B4vEaOkLj8dJRL4ThGH1k
A Boogie Wit da Hoodie,20/12/2020 20:28,125410,King Of My City,
Black Josh,20/12/2020 20:28,19435,Own Ting,
Tory Lanez,20/12/2020 20:30,117330,Freaky,
DaBaby,20/12/2020 20:33,172800,INTRO,
Meek Mill,20/12/2020 20:36,180522,Going Bad (feat. Drake),2IRZnDFmlqMuOrYOLnZZyc
Metro Boomin,20/12/2020 20:39,166093,Overdue (with Travis Scott),6LyAwkJsHlW7RQ8S1cYAtM
Drake,20/12/2020 20:41,101356,Over,3yaYgjEFkRw3PVjW9mV1TO
Drake,20/12/2020 20:44,220487,Chicago Freestyle (feat. Giveon),4wVOKKEHUJxHCFFNUWDn0B
Quando Rondo,20/12/2020 20:45,49571,Marvelous (feat. Polo G),2zimS2mTANwlM34KEOebYC
Caleborate,20/12/2020 20:49,254399,Away From,3SVeFVQS1H0XRLjkEccPKC
Isaiah Rashad,20/12/2020 20:51,70853,Wat's Wrong (feat. Zacari & Kendrick Lamar),2RPbEp0DyBVlkRvvYKopO7
Metro Boomin,20/12/2020 20:54,203266,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz
Lil Uzi Vert,20/12/2020 20:57,182706,XO Tour Llif3,7GX5flRQZVHRAGd6B4TmDO
Cordae,20/12/2020 21:00,859,Kung Fu,3CArFtrkJzWkxgjmX7ki9N
Juice WRLD,20/12/2020 21:00,1416,Wishing Well,2U5WueTLIK5WJLD7mvDODv
A$AP Ferg,20/12/2020 21:00,626,New Level (feat. Future),11BIoKDpTJHX5mZt6p566h
The Homies,20/12/2020 21:00,1462,Leaf Wraps,0F2LYCJyu8nJ3Vu2tfPO37
Mac Miller,20/12/2020 21:00,4368,Self Care,5bJ1DrEM4hNCafcDd1oxHx
Jack Harlow,20/12/2020 21:00,156497,Tyler Herro,
Drake,20/12/2020 21:00,1578,Laugh Now Cry Later (feat. Lil Durk),
Thouxanbanfauni,20/12/2020 21:00,998,Wish The Worst,
Stormzy,20/12/2020 21:00,2113,Vossi Bop,
Playboi Carti,20/12/2020 21:01,1230,wokeuplikethis*,
Kid Cudi,20/12/2020 21:01,81223,The Pale Moonlight,4EjbAh7YHU3VARkfkamZ8R
Oso Wavey Jay,20/12/2020 21:01,1044,Soulja,6ilDAH3APXX7JI5funRb0j
$NOT,20/12/2020 21:02,626,Mean,3PXi72ZtSqx1PZc40KS0Qj
Kid Cudi,20/12/2020 21:02,3343,"Solo Dolo, Pt. III",27oVCAziETRbNuo5A8LNpg
Drake,20/12/2020 21:04,156061,Don’t Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0
Drake,21/12/2020 8:01,89656,Don’t Matter To Me (with Michael Jackson),6G8kHiVZ1jW7vHMPVRNZU0
