,artist,song_name,song_id,energy,liveness,tempo,speechiness,acousticness,instrumentalness,danceability,duration_ms,loudness,valence,mode,key,popularity,release_date,artist_id
32,Roddy Ricch,Down Below,4SWWe2OYC4mqf40Gc2RSdl,0.454,0.0896,119.969,0.0732,0.036,0.000422,0.926,224002,-9.932,0.34,1,6,78,2018-11-02,757aE44tKEUQEqRuT6GnEB
35,Baby Keem,hooligan,02iYJG3KLBJODa5JkQ4O6y,0.636,0.115,93.032,0.0901,0.198,2.92e-06,0.77,156774,-7.636,0.414,0,10,65,2020-09-18,5SXuuuRpukkTvsLuUknva1
36,BEAM,Cactus,1t741g1kw8T5lvupCmgddl,0.656,0.0766,145.984,0.253,0.195,0.0,0.827,132182,-4.144,0.582,0,6,55,2018-11-02,46MWeeHNVMYRIIofQBEX98
37,Billz Raw,Money Up,3AjcVMOBCmdqHciNuPmWhV,0.591,0.168,130.081,0.0697,0.737,0.00816,0.826,227944,-6.443,0.196,1,8,47,2021-04-23,5rtWbKKiBOSJDWtvjI1V4k
38,$NOT,GOSHA,0j8ppsOOawdPCJnSTcXgOy,0.448,0.325,79.975,0.416,0.81,1.35e-05,0.847,120000,-10.14,0.488,1,0,77,2020-03-06,5IbEL2xjRtKsunfmsahLuO
39,Slyte,Late Pass (feat. Dominic Fike),5KrhLD0kGwxAExfPBaJXKb,0.351,0.112,107.054,0.3,0.315,0.00839,0.705,138948,-13.338,0.0398,0,1,45,2019-06-21,4RShN5ffl7zvij7OgRzosl
40,Beast Coast,"Far Away (feat. Kirk Knight, Meechy Darko, Erick The Architect & Nyck Caution)",10nbIPV2SRLqEjIpvS8CVb,0.648,0.113,97.013,0.188,0.045,2.9e-05,0.768,188040,-6.042,0.358,0,11,52,2019-05-24,1Nd1g8fezKoJ6DGauWbZIm
41,Mustard,"Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)",2zjGJ0dChMR0KxBZS15aqo,0.525,0.0971,99.978,0.0633,0.189,0.0,0.883,174100,-8.054,0.312,0,2,73,2019-06-28,0YinUQ50QDB7ZxSCLyQ40k
42,Don Toliver,After Party,527k23H0A4Q0UJN3vGs0Da,0.692,0.603,162.948,0.0376,0.00981,0.331,0.629,167916,-8.045,0.453,1,5,82,2020-03-13,4Gso3d4CscCijv0lmajZWs
43,A$AP Rocky,Praise The Lord (Da Shine) (feat. Skepta),7ycWLEP1GsNjVvcjawXz3z,0.569,0.1,80.015,0.106,0.0609,0.0816,0.854,205040,-8.151,0.294,0,5,83,2018-05-25,13ubrt8QOOCPljQ2FL1Kca
44,Fetty Wap,Birthday (feat. Monty),3VN7XvP708u6V9U0CxOlzi,0.621,0.085,97.015,0.181,0.18,0.0,0.816,188041,-6.352,0.403,1,0,59,2019-06-07,6PXS4YHDkKvl1wkIl4V8DL
45,Tory Lanez,Freaky,7EAaSaj1OgZgMX5yZyFXFC,0.563,0.105,104.991,0.0618,0.00202,0.0,0.966,173926,-5.764,0.363,1,8,61,2018-10-26,2jku7tDXc6XoB6MO2hFuqg
46,Aminé,REEL IT IN,5qHirGR7M9tdm6C17DlzSY,0.342,0.193,128.981,0.0991,0.073,0.0,0.754,121347,-8.677,0.423,0,10,78,2018-08-15,3Gm5F95VdRxW3mqCn8RPBJ
47,Metro Boomin,10 Freaky Girls (with 21 Savage),0AluA5RNsa4Cx6XRhf2hWZ,0.353,0.102,88.031,0.31,0.588,0.0,0.81,208293,-9.931,0.0727,0,6,79,2018-11-06,0iEtIxbK0KxaSlF7G42ZOp
48,NAV,Price On My Head (feat. The Weeknd),4hqOmrCCJKyiuwDexd8c2t,0.574,0.336,74.949,0.136,0.384,1.65e-05,0.768,217776,-6.104,0.278,0,6,62,2019-03-26,7rkW85dBwwrJtlHRDkJDAC
49,Rick Ross,Gold Roses (feat. Drake),1rX5L6pyl3rVWb55D8Cprr,0.633,0.389,83.226,0.419,0.00991,0.0,0.502,349600,-5.8,0.552,1,1,66,2019-08-15,1sBkRIssrMs1AbVkOJbc7a
50,Don Toliver,HAD ENOUGH (feat. Quavo & Offset),7LGWmZaoS7jZJ5tEi9EcDi,0.789,0.129,147.957,0.108,0.253,0.0,0.75,157133,-4.578,0.673,1,2,68,2019-12-27,7A8S43ryYdbWpJKeHRZRcq
51,Cordae,Bad Idea (feat. Chance the Rapper),5yK37zazHUe3WxEvymZs20,0.464,0.107,82.494,0.301,0.309,0.0,0.732,234615,-8.591,0.353,0,7,62,2019-07-26,0huGjMyP507tBCARyzSkrv
52,Cordae,RNP (feat. Anderson .Paak),5lw8Mgb4LyhriPIC86gV6e,0.714,0.145,196.043,0.856,0.184,0.0,0.611,175828,-4.696,0.628,0,9,70,2019-07-26,0huGjMyP507tBCARyzSkrv
53,Cordae,Have Mercy,0GwYkXgQdqY4dyRffHw3HT,0.44,0.198,138.024,0.131,0.0806,0.0,0.794,202454,-7.861,0.276,0,0,66,2019-07-26,0huGjMyP507tBCARyzSkrv
54,Gunna,DOLLAZ ON MY HEAD (feat. Young Thug),3nS9a01VvXHQriLqJYwRqG,0.458,0.102,145.115,0.0577,0.114,0.0,0.825,197760,-7.47,0.161,1,0,77,2020-05-22,2hlmm7s2ICUX0LVIhVFlZQ
55,Don Toliver,Best You Had,4k7dYdLGhJuUjaeEQB5hcA,0.537,0.0797,119.968,0.054,0.33,0.0,0.807,140064,-7.678,0.515,0,11,69,2019-05-25,4Gso3d4CscCijv0lmajZWs
56,Lil Tecca,Ransom,1lOe9qE0vR9zwWQAOk6CoO,0.642,0.0658,179.974,0.287,0.0204,0.0,0.745,131240,-6.257,0.226,0,7,82,2019-08-30,4Ga1P7PMIsmqEZqhYZQgDo
57,Jack Harlow,WHATS POPPIN,1jaTQ3nqY3oAAYyCTbIvnM,0.604,0.272,145.062,0.245,0.017,0.0,0.923,139741,-6.671,0.826,0,11,81,2020-03-13,2LIk90788K0zvyj2JJVwkJ
58,A Boogie Wit da Hoodie,Swervin (feat. 6ix9ine),1wJRveJZLSb1rjhnUHQiv6,0.662,0.111,93.023,0.303,0.0153,0.0,0.581,189487,-5.239,0.434,1,9,79,2018-12-21,31W5EY0aAly4Qieq6OFu6I
59,Swae Lee,Won't Be Late (feat. Drake),2sqsNXfN0HtgDEgaHXiUTa,0.588,0.104,123.936,0.0677,0.0824,0.000169,0.915,218710,-6.302,0.329,0,7,68,2019-08-16,1zNqQNIdeOUZHb8zbZRFMX
60,Metro Boomin,Space Cadet (feat. Gunna),1fewSx2d5KIZ04wsooEBOz,0.464,0.238,109.004,0.0645,0.368,1.71e-05,0.901,203267,-9.789,0.638,0,5,83,2018-11-06,0iEtIxbK0KxaSlF7G42ZOp
61,03 Greedo,Trap House (feat. Shoreline Mafia),1nq3DVmmYHGmO0NrAJdvnl,0.482,0.0873,97.469,0.036,0.115,0.0,0.737,221396,-5.845,0.26,0,1,69,2019-04-19,0FtsMKmZEq8fBWqdSOWtqp
62,DJ Khaled,POPSTAR (feat. Drake),6EDO9iiTtwNv6waLwa1UUq,0.56,0.134,163.071,0.261,0.057,0.0,0.8,200221,-4.818,0.45,0,5,79,2020-07-17,0QHgL1lAIqAw0HtD7YldmP
63,Young Thug,Hot (Remix) [feat. Gunna and Travis Scott],4ea9w8c4ROqiZpJVhfBA3m,0.631,0.0806,111.983,0.216,0.188,0.0,0.845,279907,-8.206,0.545,0,7,67,2019-12-20,50co4Is1HCEo8bhOyUWKpn
65,YG,Hard Bottoms & White Socks,6CX0WrNFDyA5xM3wqWFAZV,0.513,0.383,87.981,0.563,0.335,0.0,0.769,227907,-5.074,0.519,0,6,51,2019-05-24,0A0FS04o6zMoto8OKPsDwY
66,Big Sean,Single Again,7IP0lO9tHfNwBWZ9X6TJ84,0.677,0.154,94.95,0.0909,0.161,0.0,0.635,213733,-5.548,0.253,1,10,62,2019-07-26,0c173mlxpT3dSFRgMO8XPh
67,NAV,Champion (feat. Travis Scott),6nO3tr47nr2P7f3hXb8JIo,0.782,0.108,162.005,0.0477,0.381,0.0,0.642,195053,-3.395,0.396,0,5,75,2018-05-18,7rkW85dBwwrJtlHRDkJDAC
68,Roddy Ricch,High Fashion (feat. Mustard),07KXEDMj78x68D884wgVEm,0.499,0.3,97.956,0.114,0.269,0.0,0.831,220487,-8.442,0.511,0,11,78,2019-12-06,757aE44tKEUQEqRuT6GnEB
69,A$AP Rocky,Sundress,2aPTvyE09vUCRwVvj0I8WK,0.707,0.143,125.005,0.0595,0.181,3.68e-06,0.721,158206,-6.364,0.743,1,6,79,2018-11-20,13ubrt8QOOCPljQ2FL1Kca
70,Future,Life Is Good (feat. Drake),5yY9lUy8nbvjM1Uyo1Uqoc,0.609,0.152,142.037,0.481,0.0706,0.0,0.676,237735,-5.831,0.508,0,2,81,2020-01-10,1RyvyyTE3xzB2ZywiAwp0i
71,Amber Mark,Lose My Cool - Couros Remix,5SfNtcZeacegF9JSuqe8HQ,0.753,0.121,79.964,0.086,0.483,2.98e-06,0.546,186203,-4.831,0.513,1,2,48,2017-05-26,0tbeZu9lv8YEKSQ9tZSslu
73,Pi’erre Bourne,Poof,4k95J448xydiVtD4PXMvpY,0.506,0.134,81.451,0.261,0.0506,1.26e-06,0.804,183108,-8.413,0.611,0,0,64,2019-06-21,3x3jSlhyv5CiCZDZlaTq0M
74,Alex Wiley,Hope Against Hope,7IPYvlNAQz4YEEFe1L372g,0.601,0.0916,144.988,0.0518,0.0979,0.0406,0.567,139034,-9.36,0.221,1,10,26,2020-06-12,0JdGPxHeRGfOyZg3EHwp2g
75,Glockkb,Reaper Cry,7whm7HQKG3d6oLYWgc0kf8,0.83,0.102,167.198,0.344,0.36,0.0,0.537,151580,-6.784,0.718,0,0,0,2020-09-18,4kQJquTGZ8JYxD5aakuNUC
82,Kid Cudi,Lord I Know,7f2voPcnDEAzX4yB8SLnU2,0.572,0.102,180.061,0.157,0.583,0.295,0.613,212040,-9.6,0.0389,1,0,61,2020-12-11,0fA0VVWsXO9YnASrzqfmYu
85,Chef,Rags,7p2mwDoEBIQw927JW59cwE,0.548,0.286,82.028,0.446,0.0154,0.0,0.719,260833,-9.935,0.389,0,11,53,2019-09-20,5Qy8JQ7JvhSqgUh3XVVXXE
86,Drake,Let’s Call It Off (feat. Peter Bjorn and John),4FDSPGncHRpr6yB8DD4CtI,0.731,0.157,127.403,0.0327,0.00427,0.29,0.79,234176,-4.607,0.938,0,9,50,2009,3TVXtAsR1Inumwj472S9r4
89,Sybyr,Then We Get Nast(y),2DzeiTzoepS5zf0myVGHDo,0.97,0.107,119.976,0.036,0.127,0.000506,0.722,224000,-3.061,0.932,0,6,51,2019-04-26,4WVDlzQCHAIWzBP5iZwuOJ
102,Nujabes,Feather (feat. Cise Starr & Akin from CYNE),2ej1A2Ze6P2EOW7KfIosZR,0.749,0.106,180.598,0.0769,0.655,0.432,0.565,175360,-6.629,0.881,0,10,64,2005-11-11,3Rq3YOF9YG9YfCWD4D56RZ
103,MIDNIGHT ERA,Han Solo,7DKbt4XInfjR3lqY41BsUa,0.594,0.108,115.04,0.0341,0.0523,0.0,0.842,141913,-7.174,0.598,1,0,45,2018-03-06,6leYWNOt45Vx8GzM0msLgo
104,RIN,Aretha Franklin Freestyle,5hKM3DaySvongkyGdvhacX,0.592,0.31,159.96,0.0811,0.498,0.325,0.79,184587,-7.226,0.7,0,3,52,2018-01-12,18ISxWwWjV6rPLoVCXf1dz
108,Drake,Pound Cake / Paris Morton Music 2,4RI9eX7jNcdaQOJifn7t6z,0.762,0.114,164.09,0.529,0.138,1.11e-05,0.521,433800,-6.746,0.266,1,2,66,2013-01-01,3TVXtAsR1Inumwj472S9r4
111,Honeyroot,Nobody Loves You (The Way I Do),3D2P3KIRaYBCJ7rhLgYXFe,0.454,0.0979,171.981,0.0568,0.495,0.317,0.644,363173,-10.967,0.548,0,6,30,2007-07-16,4vYUY9Xfx7vBC3Sl1mGBWi
112,Honeyroot,Heavy Drops,3bfPQdBlB61z8crSr7HxJC,0.86,0.06,112.012,0.0475,0.0757,0.899,0.699,283373,-9.495,0.567,1,2,6,2007-07-16,4vYUY9Xfx7vBC3Sl1mGBWi
115,Future,Mask Off (feat. Kendrick Lamar) - Remix,6dVZCbi9CYtD9LjAHXRjIG,0.424,0.453,150.01,0.387,0.0122,0.0126,0.72,258427,-11.964,0.228,1,2,62,2017-06-30,1RyvyyTE3xzB2ZywiAwp0i
116,PARTYNEXTDOOR,LOYAL (feat. Drake),3LnJM1B5Mjgx5LfT9plXUU,0.53,0.0946,104.952,0.0495,0.517,0.00159,0.866,197973,-6.347,0.203,0,0,69,2020-03-26,2HPaUgqeutzr3jx5a9WyDV
